,title,mp3_url,midi_url,metadata
2463,,,,[]
2464,"
	 Pekatari haundi bat         
	",https://bdb.bertsozale.eus/common/file/get/31516,https://bdb.bertsozale.eus/common/file/get/20572,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '6/7']"
2465,"
	 Pekatariok ama I         
	",https://bdb.bertsozale.eus/common/file/get/31553,https://bdb.bertsozale.eus/common/file/get/20575,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABAB', '7/6']"
2466,"
	 Pekatariok ama II         
	",https://bdb.bertsozale.eus/common/file/get/31587,https://bdb.bertsozale.eus/common/file/get/20578,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'ABDE', '7/6']"
2467,"
	 Pelegrinuak datoz         
	",https://bdb.bertsozale.eus/common/file/get/32927,https://bdb.bertsozale.eus/common/file/get/26116,"['Seiko txikia (hg) / Hiru puntuko txikia (ip)', 'A1A2A3', '7/6']"
2468,"
	 Pello Josepe tabernan dela I-B         / Pottetta B      
	",https://bdb.bertsozale.eus/common/file/get/32212,https://bdb.bertsozale.eus/common/file/get/23383,"['Zortziko handia (hg) / Lau puntuko handia (ip)', 'AABA2A3', '15/3']"
2469,"
	 Pello Josepe tabernan dela I-A         / Pottetta A          / Urra katxutxa   
	",https://bdb.bertsozale.eus/common/file/get/32175,https://bdb.bertsozale.eus/common/file/get/23380,"['Zortziko handia (hg) / Lau puntuko handia (ip)', 'AABA2', '5/5/4/4']"
2470,"
	 Pello Josepe tabernan dela II         
	",https://bdb.bertsozale.eus/common/file/get/32444,https://bdb.bertsozale.eus/common/file/get/22648,"['Seiko handia (hg) / Hiru puntuko handia (ip)', 'ABA', '10/8']"
2471,,,,[]
2472,"
	 Pellok egin omen du         
	",https://bdb.bertsozale.eus/common/file/get/31892,https://bdb.bertsozale.eus/common/file/get/27184,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'ABDEF', '7/6']"
2473,"
	 Pelota partidua         
	",https://bdb.bertsozale.eus/common/file/get/31930,https://bdb.bertsozale.eus/common/file/get/27187,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BB', '7/6']"
2474,"
	 Pena penaren gainen         
	",https://bdb.bertsozale.eus/common/file/get/31623,https://bdb.bertsozale.eus/common/file/get/20581,"['Zortzikoa, txikiaren modekoa, 4 puntuz (hg) / Lau puntukoa, txikiaren modekoa (ip)', 'AABA', '2/5/2/4']"
2475,"
	 Penagarria dago         
	",https://bdb.bertsozale.eus/common/file/get/32669,https://bdb.bertsozale.eus/common/file/get/21835,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'A1A2BA1A2', '13']"
2476,"
	 Penak esplikatzera         
	",https://bdb.bertsozale.eus/common/file/get/31416,https://bdb.bertsozale.eus/common/file/get/26212,"['Hamarreko txikia (hg) / Bost puntuko txikia (ip)', 'ABD1D2B2', '7/6']"
2477,"
	 Penetan diren gaixuen         
	",https://bdb.bertsozale.eus/common/file/get/31659,https://bdb.bertsozale.eus/common/file/get/20584,"['Zortziko txikia (hg) / Lau puntuko txikia (ip)', 'A1A2BA2', '1/7/5']"
2478,,,,[]
2479,"
	 Perla ta perla negarrez dago         
	",https://bdb.bertsozale.eus/common/file/get/32834,https://bdb.bertsozale.eus/common/file/get/22300,"['AB', '4/5/2/5/2']"
2480,"
	 Perrak baditu soinean baina         
	",https://bdb.bertsozale.eus/common/file/get/31969,https://bdb.bertsozale.eus/common/file/get/27190,"['Hamarreko handia (hg) / Bost puntuko handia (ip)', 'AABDE', '5/5/5/3']"
2481,"
	 Perretxikotan nenbilenean A         
	",https://bdb.bertsozale.eus/common/file/get/32912,https://bdb.bertsozale.eus/common/file/get/22303,"['Lauko handia (hg) / Bi puntuko handia (ip)', 'AB', '5/6/2/5']"
2482,"
	 Perretxikotan nenbilenean B         
	",https://bdb.bertsozale.eus/common/file/get/32949,https://bdb.bertsozale.eus/common/file/get/22306,"['Lauko handia (hg) / Bi puntuko handia (ip)', 'A1A2', '5/5/5/3']"
2483,"
	 Pertsonok ez al daramatzagu         / Itzaltzuko bardoa      
	",https://bdb.bertsozale.eus/common/file/get/71249,https://bdb.bertsozale.eus/common/file/get/71248,"['Hamalauko handia (hg) / Zazpi puntuko handia (ip)', 'A-B-C-D', 'Hutsik']"
2484,"
	 Peru duakok uste bazeben A         / Toto pintotxo      
	",https://bdb.bertsozale.eus/common/file/get/32986,https://bdb.bertsozale.eus/common/file/get/22309,"['Lauko handia (hg) / Bi puntuko handia (ip)', 'AB', '5/5/4/4']"
2485,"
	 Peru duakok uste bazeben B         / Udaberria datorrenian      
	",https://bdb.bertsozale.eus/common/file/get/33057,https://bdb.bertsozale.eus/common/file/get/22312,"['AB', 'Hutsik']"
2486,"
	 Peru ekartzazu         
	",https://bdb.bertsozale.eus/common/file/get/31446,https://bdb.bertsozale.eus/common/file/get/21325,"['Lauko txikia (hg) / Bi puntuko txikia (ip)', 'AB', 'Hutsik']"
2487,"
	 Peru gurea Londresen I         / Nagusi jauna Londresen      
	",https://bdb.bertsozale.eus/common/file/get/30811,https://bdb.bertsozale.eus/common/file/get/24403,"['Kopla handia', 'ABDE', '8/8/18/8']"
2488,"
	 Peru gurea Londresen II         
	",https://bdb.bertsozale.eus/common/file/get/30847,https://bdb.bertsozale.eus/common/file/get/24406,"['Kopla handiaren moldekoa', 'ABDE', '8/8/18/8']"
2489,"
	 Peru gurea Londresen III         / Senarra degu Londresen       
	",https://bdb.bertsozale.eus/common/file/get/30889,https://bdb.bertsozale.eus/common/file/get/24409,"['Laukoa, berdinaren moldekoa, 4 puntuz (hg) / Lau puntukoa, berdinaren moldekoa (ip)', 'ABDE', '8/8/8/8']"
2490,"
	 Peru gurea Londresen IV         / Londresen dit neuk senarra      
	",https://bdb.bertsozale.eus/common/file/get/30927,https://bdb.bertsozale.eus/common/file/get/24412,"['Lauko berdina, 2 puntuz eta 8 silabaz (hg) / Bi puntuko berdina, 16 silabaz (ip)', 'ABDE', '8/8/8/8']"
2491,,,,[]
