title,mp3_url,midi_url,Mota,Errima,Silabak
"
	 Hain asko eta ondo         / Angelatxo      
	",https://bdb.bertsozale.eus/common/file/get/32918,https://bdb.bertsozale.eus/common/file/get/19738,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Haizearen ondoren         / Ekaitzi II       
	",https://bdb.bertsozale.eus/common/file/get/33049,https://bdb.bertsozale.eus/common/file/get/25567,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Hamar dira Jaunaren         / Hamar mandamentuak IV      
	",https://bdb.bertsozale.eus/common/file/get/33096,https://bdb.bertsozale.eus/common/file/get/19753,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Haurtxo txiki polita         
	",https://bdb.bertsozale.eus/common/file/get/33226,https://bdb.bertsozale.eus/common/file/get/25579,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Herri txiki batentzat         / Getariari      
	",https://bdb.bertsozale.eus/common/file/get/31054,https://bdb.bertsozale.eus/common/file/get/19807,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Hispano erregea         
	",https://bdb.bertsozale.eus/common/file/get/33329,https://bdb.bertsozale.eus/common/file/get/25588,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Hogei bertso berriak II         
	",https://bdb.bertsozale.eus/common/file/get/31405,https://bdb.bertsozale.eus/common/file/get/19831,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Hogeita hamar neskatxa         
	",https://bdb.bertsozale.eus/common/file/get/31440,https://bdb.bertsozale.eus/common/file/get/19834,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Hogeita laugarrena II         
	",https://bdb.bertsozale.eus/common/file/get/31474,https://bdb.bertsozale.eus/common/file/get/19837,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Horra masoikeri ta         / Gerra europeari      
	",https://bdb.bertsozale.eus/common/file/get/31838,https://bdb.bertsozale.eus/common/file/get/19864,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Irakurri ditugu         
	",https://bdb.bertsozale.eus/common/file/get/32250,https://bdb.bertsozale.eus/common/file/get/19894,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Isabel bigarrena         
	",https://bdb.bertsozale.eus/common/file/get/32326,https://bdb.bertsozale.eus/common/file/get/19900,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Isil-isilik dago         
	",https://bdb.bertsozale.eus/common/file/get/32405,https://bdb.bertsozale.eus/common/file/get/19906,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Itsasoa hasarre dago         
	",https://bdb.bertsozale.eus/common/file/get/33514,https://bdb.bertsozale.eus/common/file/get/25600,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Iturengo arotza I-A         / Andere gazte eder bat         / Andoaingo elizan   
	",https://bdb.bertsozale.eus/common/file/get/32999,https://bdb.bertsozale.eus/common/file/get/19918,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Iturengo arotza II-B         / Ituringo gareila      
	",https://bdb.bertsozale.eus/common/file/get/30812,https://bdb.bertsozale.eus/common/file/get/25606,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jainko maitea nago I         
	",https://bdb.bertsozale.eus/common/file/get/30848,https://bdb.bertsozale.eus/common/file/get/25609,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jaio zinan mundura         
	",https://bdb.bertsozale.eus/common/file/get/33427,https://bdb.bertsozale.eus/common/file/get/19951,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jauna zugana gatoz         
	",https://bdb.bertsozale.eus/common/file/get/33500,https://bdb.bertsozale.eus/common/file/get/19957,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jaunak bere ondora         
	",https://bdb.bertsozale.eus/common/file/get/33537,https://bdb.bertsozale.eus/common/file/get/19960,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jaunak hala nahirikan         
	",https://bdb.bertsozale.eus/common/file/get/30800,https://bdb.bertsozale.eus/common/file/get/19963,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jaungoiko haundiaren I         
	",https://bdb.bertsozale.eus/common/file/get/30834,https://bdb.bertsozale.eus/common/file/get/19966,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jesus abemaria         
	",https://bdb.bertsozale.eus/common/file/get/30986,https://bdb.bertsozale.eus/common/file/get/19975,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jesus eta Maria         
	",https://bdb.bertsozale.eus/common/file/get/31024,https://bdb.bertsozale.eus/common/file/get/19978,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Joaten dan bezelaxe         
	",https://bdb.bertsozale.eus/common/file/get/31240,https://bdb.bertsozale.eus/common/file/get/19996,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Jose Tejeria da II         
	",https://bdb.bertsozale.eus/common/file/get/31414,https://bdb.bertsozale.eus/common/file/get/20008,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Kaiolaren adarrak         
	",https://bdb.bertsozale.eus/common/file/get/31555,https://bdb.bertsozale.eus/common/file/get/20020,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Kantuz begira nago II         
	",https://bdb.bertsozale.eus/common/file/get/32222,https://bdb.bertsozale.eus/common/file/get/20068,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Kristau gazte maitea IV         
	",https://bdb.bertsozale.eus/common/file/get/32899,https://bdb.bertsozale.eus/common/file/get/20113,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Kuba ta españatarrak         
	",https://bdb.bertsozale.eus/common/file/get/31736,https://bdb.bertsozale.eus/common/file/get/19303,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Lantzen bizi gera         
	",https://bdb.bertsozale.eus/common/file/get/31603,https://bdb.bertsozale.eus/common/file/get/25666,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Lehenago flaka zana morena         
	",https://bdb.bertsozale.eus/common/file/get/31640,https://bdb.bertsozale.eus/common/file/get/25669,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Lehenguan zer pasa zan         / Papelerako neskatxak      
	",https://bdb.bertsozale.eus/common/file/get/33290,https://bdb.bertsozale.eus/common/file/get/20143,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
"
	 Maitemindu kontuak         
	",https://bdb.bertsozale.eus/common/file/get/31528,https://bdb.bertsozale.eus/common/file/get/27157,'Zortziko txikia (hg) / Lau puntuko txikia (ip), 'ABDE, '7/6'
